Issue,Title,Body_Length,Has_Checklist,Has_Acceptance_Criteria,Has_Phase_Breakdown,Label_Count,Created_At,Closed_At
10,"Implement Leo Items for Linear Parsing",4835,false,false,false,4,2025-08-02T22:02:30Z,N/A
12,"Enhance Parser for Full Perl Subset",3720,true,true,true,0,2025-08-02T22:02:56Z,2025-10-19T21:38:57Z
15,"Implement complete Aycock-Horspool left-recursion handling",2172,false,false,false,0,2025-08-03T02:38:52Z,2025-10-10T09:59:05Z
38,"Fix parsing timeout for num.t - grammar performance issue",1657,false,false,false,0,2025-10-05T17:26:35Z,2025-10-10T02:32:49Z
39,"Fix parsing of rs.t - record separator syntax failure at position 212",1475,false,false,false,0,2025-10-05T17:27:04Z,2025-10-09T19:42:24Z
40,"Fix parsing of term.t - BEGIN block syntax failure at position 38",1822,false,false,false,0,2025-10-05T17:27:36Z,2025-10-10T01:11:49Z
45,"Support two-argument open with bareword filehandles and or/and operators",3530,true,true,false,0,2025-10-09T19:39:38Z,2025-10-10T02:54:05Z
53,"Update tests using historical 'require chalk' to use modern Chalk::Grammar library",958,false,false,false,0,2025-10-10T03:48:41Z,2025-10-10T14:59:39Z
66,"Review all tests in t/ for relevance and correctness",3217,true,false,true,4,2025-10-20T16:02:51Z,N/A
74,"Implement Latent Type Inference and Checking in Semantic Actions",19718,true,true,true,5,2025-10-23T16:36:21Z,2025-10-28T14:54:05Z
75,"Refactor peephole optimization to plugin-based system using comonad pattern",3963,true,true,true,5,2025-10-23T18:03:20Z,N/A
81,"Implement Memory Aliasing Analysis for Sea of Nodes IR",964,false,false,false,0,2025-10-24T06:29:48Z,2025-10-24T15:06:45Z
97,"Implement minimal use statement handling for Chalk self-compilation",4572,true,true,false,1,2025-10-24T20:36:18Z,2025-10-25T05:00:33Z
98,"Complete IR Implementation for Self-Compilation",7506,true,true,true,1,2025-10-24T21:21:35Z,2025-10-25T00:11:42Z
104,"Complete Sea of Nodes IR Integration (Issue #98 Phase 6)",3870,true,true,true,1,2025-10-25T02:08:28Z,2025-10-25T18:54:45Z
107,"Implement Statement Modifiers (if/unless/while/until/for)",2107,false,false,false,5,2025-10-25T19:01:50Z,2025-10-26T03:53:05Z
109,"Implement Unary Operators (!  not  -  ++  --  \)",4072,false,false,true,5,2025-10-25T19:02:52Z,2025-10-26T11:45:36Z
110,"Implement String Concatenation Operator (.)",3521,false,false,false,5,2025-10-25T19:03:25Z,2025-10-26T17:25:45Z
111,"Implement Range Operator (..)",3727,false,false,true,5,2025-10-25T19:04:03Z,2025-10-26T18:25:52Z
112,"Make IR generation the default behavior in app.pl",3209,false,true,false,4,2025-10-25T19:30:19Z,2025-11-03T20:37:03Z
113,"Refactor IR::Node into Polymorphic Subclass Hierarchy",4922,true,true,true,4,2025-10-25T19:30:59Z,2025-10-26T00:20:47Z
125,"Fix Builder to create polymorphic nodes consistently for interpreter execution",5378,true,true,true,0,2025-10-30T19:05:43Z,2025-10-31T03:18:26Z
128,"Expand Interpreter Test Coverage and Validate Against Perl 5.42.0",7747,true,true,true,4,2025-10-31T03:33:50Z,N/A
130,"Implement Heap Memory Model for References  Aliasing  and Mutable Data",11471,true,false,true,0,2025-10-31T17:53:54Z,2025-11-03T16:09:37Z
137,"Add Mermaid diagram export for IR graphs",1357,true,true,false,0,2025-10-31T23:28:17Z,2025-11-01T17:01:31Z
139,"Implement fexpr-inspired IR enhancements: source preservation  transformation tracking  and context objects",5575,true,false,true,3,2025-11-01T23:29:34Z,2025-11-06T03:48:27Z
144,"Replace grammar-encoded operator precedence with precedence semiring",24697,true,true,true,4,2025-11-03T02:11:06Z,2025-11-10T17:51:05Z
153,"[P0] Variable reassignment doesn't update value in context model",2936,true,true,true,4,2025-11-04T23:55:49Z,2025-11-06T23:02:13Z
154,"[P0] Control flow assignments don't propagate through Region/Phi",4737,true,true,true,5,2025-11-04T23:55:51Z,2025-11-10T05:40:57Z
156,"Implement CEK-based dataflow interpreter for Sea of Nodes IR",6485,true,true,true,1,2025-11-05T00:09:07Z,2025-11-07T21:06:53Z
159,"Add Phase 5 specification documentation for context-aware IR validation",2389,false,true,true,0,2025-11-06T13:28:58Z,2025-11-06T14:42:49Z
